Длина_ряда,Доля_пропусков,Доля_выбросов,ADF_статистика,ADF_pvalue,Сила_тренда,Сила_сезонности,Магазин_ID,Номенклатура_ID
614,0.0,0.00814332247557,-24.86369823141729,0.0,0.112387101192455,0.0067489204783446,Store_001,Item_01199
578,0.0,0.0224913494809688,-22.356170617263263,0.0,0.0994480067355963,0.0077548805955782,Store_001,Item_01271
1,0.0,0.0,,,,,Store_001,Item_02112
564,0.0,0.0088652482269503,-43.38882895343897,0.0,0.0720166321968049,0.0064541450150618,Store_001,Item_10111
330,0.0,0.009090909090909,-18.194081878034567,2.415139650979545e-30,0.0647115052723954,0.0265498606102547,Store_001,Item_05070
1,0.0,0.0,,,,,Store_001,Item_03368
495,0.0,0.0262626262626262,-21.43354686671168,0.0,0.1157313152018173,0.0153989936653655,Store_001,Item_02431
408,0.0,0.017156862745098,-19.91741653265447,0.0,0.1350536381428281,0.010642489945254,Store_001,Item_05069
1,0.0,0.0,,,,,Store_001,Item_01086
356,0.0,0.0168539325842696,-19.058643290065916,0.0,0.0986749940500981,0.0156654659628671,Store_001,Item_04254
520,0.0,0.0134615384615384,-13.152497670798237,1.357959754909024e-24,0.134386238341005,0.0117733816531649,Store_001,Item_07360
504,0.0,0.0059523809523809,-14.238299177944556,1.5534271177331153e-26,0.0448526873637535,0.0144883843002029,Store_001,Item_01802
132,0.0,0.0151515151515151,-2.362152630182736,0.1527046347292522,0.1281683659285928,0.0168022086908209,Store_001,Item_02741
65,0.0,0.0461538461538461,-1.6059590522836975,0.4805994193588645,0.1240178263537145,0.0407484349163555,Store_001,Item_03398
348,0.0,0.0086206896551724,-20.664905517261825,0.0,0.116193232500095,0.0344099716421327,Store_001,Item_08495
542,0.0,0.0166051660516605,-23.567491734732187,0.0,0.1088706101194546,0.0112378824780161,Store_001,Item_07626
485,0.0,0.0329896907216494,-21.645591010621352,0.0,0.1514886788146897,0.0169626261847231,Store_001,Item_10213
353,0.0,0.0141643059490084,-18.924574893078116,0.0,0.0936892314983699,0.0064469827574473,Store_001,Item_04994
420,0.0,0.0333333333333333,-11.689511621978747,1.6657627893702177e-21,0.2931875460968579,0.0202471927592771,Store_001,Item_03336
2,0.0,0.0,,,,,Store_001,Item_10639
425,0.0,0.0047058823529411,-20.591260281973938,0.0,0.0345094833417518,0.013027326536536,Store_001,Item_10212
508,0.0,0.0078740157480314,-22.606368664418834,0.0,0.0862094678432597,0.0049882105141414,Store_001,Item_03616
479,0.0,0.0313152400835073,-19.091449556124765,0.0,0.1089011409506609,0.009053365966469,Store_001,Item_09955
1,0.0,0.0,,,,,Store_001,Item_03335
574,0.0,0.0209059233449477,-15.038869998315931,9.65864783646612e-28,0.1750408396841523,0.0291237223862952,Store_001,Item_03082
26,0.0,0.0769230769230769,-4.9999999999999964,2.219315471395661e-05,0.0307082335485214,0.2113786681764542,Store_001,Item_10651
53,0.0,0.0188679245283018,-4.045350518819567,0.0011908001644318,0.031702068582535,0.0684202111967236,Store_001,Item_07239
406,0.0,0.0098522167487684,-20.2252354838192,0.0,0.0855527683583333,0.0148688111400515,Store_001,Item_02597
1,0.0,0.0,,,,,Store_001,Item_05126
311,0.0,0.0257234726688102,-19.834009711254687,0.0,0.115860712959483,0.0507994397772708,Store_001,Item_09008
457,0.0,0.0043763676148796,-21.354156504062765,0.0,0.0345255639820404,0.0103422760440469,Store_001,Item_05610
537,0.0,0.0204841713221601,-5.753052910674539,5.905351953201732e-07,0.1402306123744671,0.0089062004815656,Store_001,Item_01503
42,0.0,0.0476190476190476,-6.403124237432835,1.972977025578355e-08,0.0323201921074552,0.1396794304456476,Store_001,Item_07271
312,0.0,0.0128205128205128,-3.405715343998296,0.0107655721201991,0.2184841254991729,0.0252974167613424,Store_001,Item_07363
475,0.0,0.0063157894736842,-21.817814310251176,0.0,0.0694723993886728,0.0090527566766922,Store_001,Item_10635
179,0.0,0.0167597765363128,-13.418121217648068,4.242169252333518e-25,0.1621375997059306,0.0421507498969689,Store_001,Item_01008
13,0.0,0.0,-0.666666666666667,0.8551957582903065,,,Store_001,Item_04318
286,0.0,0.0139860139860139,-17.002529856035384,8.707736456032486e-30,0.0841719734463477,0.0203892713331692,Store_001,Item_03381
488,0.0,0.0102459016393442,-22.20585978448644,0.0,0.0953439754657092,0.0220389929048737,Store_001,Item_07671
496,0.0,0.0241935483870967,-6.0153964238613815,1.538034122230313e-07,0.1404693240203328,0.0180721246940964,Store_001,Item_02743
388,0.0,0.0128865979381443,-0.2024457149678883,0.938229466146696,0.0842933563365133,0.0120312961128866,Store_001,Item_03729
21,0.0,0.0,-2.842426659208131,0.0524643167180499,0.1222643702097305,0.3843471589902674,Store_001,Item_05683
530,0.0,0.0094339622641509,-5.683310796717096,8.389163584437792e-07,0.0960939786993515,0.0083261306640194,Store_001,Item_04934
405,0.0,0.0049382716049382,-43.09851174762885,0.0,0.0410348392197504,0.0149629678414774,Store_001,Item_10599
130,0.0,0.0153846153846153,-22.62758829256853,0.0,0.0423525104269476,0.0284074286314796,Store_001,Item_10180
1,0.0,0.0,,,,,Store_001,Item_05127
